Pos,Player,PPG,HEAT,Sal,2x,3x,4x,TM,Opp,DvP,PM,Pts L5,FPPM,Proj P,Proj V
SG,Quinndary Weatherspoon,0,,3000,6,9,12,SA,BKN,1,0,0,0,0,0
SF,Admiral Schofield,6.9,,3000,6,9,12,WAS,ATL,1.17,0,7.3,0.59,0,0
C,Tacko Fall,5.9,,3000,6,9,12,BOS,UTA,1,0,5.6,1.36,0,0
SF,Jaylen Hoard,7.6,,3000,6,9,12,POR,PHO,0.99,0,10.8,0.88,0,0
SG,Miye Oni,0.4,,3000,6,9,12,UTA,BOS,1.01,0,0.4,0.17,0,0
PG,Allonzo Trier,10.2,,3000,6,9,12,NY,OKC,1,0,9.3,0.85,0,0
SG,Damyean Dotson,12.4,,3000,6,9,12,NY,OKC,0.94,0,13.2,0.71,0,0
PG,Kadeem Allen,10.5,,3000,6,9,12,NY,OKC,1,0,12.7,0.89,0,0
SG,Antonius Cleveland,2,,3000,6,9,12,DAL,MEM,1.06,0,1.8,0.56,0,0
PG,Naz Mitrou-Long,12,,3000,6,9,12,IND,CHI,0.89,0,12,0.84,0,0
PG,Josh Gray,2.5,,3000,6,9,12,NO,MIA,0.9,0,2.5,0.23,0,0
PF,Chimezie Metu,5.9,,3000,6,9,12,SA,BKN,0.93,0,6.3,1.34,0,0
PG,Jacob Evans,9.2,,3000,6,9,12,MIN,ORL,0.94,0,10.2,0.64,0,0
SF,Jarred Vanderbilt,2.8,,3000,6,9,12,MIN,ORL,0.98,0,4.1,0.67,0,0
PF,Kevin Hervey,1.2,,3000,6,9,12,OKC,NY,1.02,0,1.2,0.33,0,0
PF,Alize Johnson,3.5,,3000,6,9,12,IND,CHI,1.13,0,2.3,0.79,0,0
PF,Kenrich Williams,15.1,❄️,3000,6,9,12,NO,MIA,0.98,0,4.7,0.68,0,0
SF,Kostas Antetokounmpo,1.4,,3000,6,9,12,LAL,MIL,0.96,0,1.4,0.69,0,0
C,Omari Spellman,16.8,,3000,6,9,12,MIN,ORL,0.9,0,12.9,0.93,0,0
C,T.J. Leaf,7.3,,3000,6,9,12,IND,CHI,1.05,0,3.2,0.96,0,0
C,Vincent Poirier,5.3,,3000,6,9,12,BOS,UTA,1,0,4.8,0.93,0,0
PF,Rodions Kurucs,9.6,,3000,6,9,12,BKN,SA,1,0,8.2,0.74,0,0
PF,D.J. Wilson,6.9,,3000,6,9,12,MIL,LAL,0.88,0,5.3,0.8,0,0
PG,Frank Mason,5,,3000,6,9,12,MIL,LAL,1.04,0,5,0.87,0,0
